Bingham Loop,2839
Bingham Ave at Kingston Rd,1738
Kingston Rd at Scarborough Rd,2795
Kingston Rd at Beech Ave,2767
Kingston Rd at Glen Manor Dr,15349
Kingston Rd at Main St,2785
Kingston Rd at Lee Ave,2783
Kingston Rd at Brookside Dr,2770
Kingston Rd at Elmer Ave,2777
Kingston Rd at Woodbine Ave,15350
Kingston Rd at Columbine Ave,2772
Kingston Rd at Dundas St East,2775
Kingston Rd at Queen St East,14058
Queen St East at Coxwell Ave,3045
Queen St East at Woodfield Rd,15337
Queen St East at Greenwood Ave,3049
Queen St East at Alton Ave,3029
Queen St East at Leslie St,3057
Queen St East at Jones Ave,3052
Queen St East at Brooklyn Ave,3034
Queen St East at Pape Ave,3063
Queen St East at Carlaw Ave,3036
Queen St East at Logan Ave,3059
Queen St East at Empire Ave,3047
Queen St East at Boulton Ave,3031
Queen St East at Broadview Ave,3033
Queen St East at Carroll St,3039
King St East at River St,4142
King St East at Sumach St,4149
King St East at Sackville St,4144
King St East at Parliament St,4141
King St East at Ontario St,4139
King St East at Sherbourne St,4146
King St West at Jarvis St West Side,15635
King St East at Church St West Side,12538
King St West at Yonge St West Side - King Station,15637
King St West at Bay St West Side,15639
King St West at Simcoe St - St. Andrew Station,15641
King St West at John St West Side,15643
King St West at Peter St,4181
Spadina Ave at King St West North Side,7353
Charlotte St at Oxley St,12158
Charlotte St at King St West,12168
