Bingham Loop
Bingham Ave at Kingston Rd
Kingston Rd at Scarborough Rd
Kingston Rd at Beech Ave
Kingston Rd at Glen Manor Dr
Kingston Rd at Main St
Kingston Rd at Lee Ave
Kingston Rd at Brookside Dr
Kingston Rd at Elmer Ave
Kingston Rd at Woodbine Ave
Kingston Rd at Columbine Ave
Kingston Rd at Dundas St East
Kingston Rd at Queen St East
Queen St East at Coxwell Ave
Queen St East at Woodfield Rd
Queen St East at Greenwood Ave
Queen St East at Alton Ave
Queen St East at Leslie St
Queen St East at Jones Ave
Queen St East at Brooklyn Ave
Queen St East at Pape Ave
Queen St East at Carlaw Ave
Queen St East at Logan Ave
Queen St East at Empire Ave
Queen St East at Boulton Ave
Queen St East at Broadview Ave
Queen St East at Carroll St
King St East at River St
King St East at Sumach St
King St East at Sackville St
King St East at Parliament St
King St East at Ontario St
King St East at Sherbourne St
King St West at Jarvis St West Side
King St East at Church St West Side
King St West at Yonge St West Side - King Station
King St West at Bay St West Side
King St West at Simcoe St - St. Andrew Station
King St West at John St West Side
King St West at Peter St
Spadina Ave at King St West North Side
Charlotte St at Oxley St
Charlotte St at King St West

