Month,Route,Time,Day,Incident,Station ID,Min Delay
1,504,377,Wednesday,Mechanical,6849,0
1,504,470,Wednesday,Mechanical,12538,0
1,506,493,Wednesday,Investigation,14741,0
1,504,516,Wednesday,Mechanical,3374,0
1,504,738,Wednesday,Mechanical,14665,0
1,505,781,Wednesday,Mechanical,14639,0
1,510,824,Wednesday,Emergency Services,10927,0
1,501,1135,Wednesday,Mechanical,6523,0
1,501,1203,Wednesday,Investigation,6523,0
1,505,1280,Wednesday,Investigation,2117,0
1,504,1403,Wednesday,Emergency Services,14665,0
1,501,347,Thursday,Investigation,6849,0
1,504,490,Thursday,Mechanical,15647,0
1,510,570,Thursday,Mechanical,7353,0
1,504,947,Thursday,Investigation,4146,0
1,504,983,Thursday,Mechanical,3374,0
1,511,1025,Thursday,Mechanical,14619,0
1,504,1029,Thursday,Mechanical,4144,0
1,504,1152,Thursday,Investigation,4149,0
1,501,146,Friday,Mechanical,5511,0
1,504,483,Friday,Mechanical,15643,0
1,505,488,Friday,Mechanical,14639,0
1,505,520,Friday,Investigation,2194,0
1,505,674,Friday,Investigation,2136,0
1,505,710,Friday,Investigation,2161,0
1,505,822,Friday,Investigation,988,0
1,506,844,Friday,Mechanical,1117,0
1,504,908,Friday,Mechanical,4139,0
1,505,997,Friday,Mechanical,2161,0
1,503,1050,Friday,Investigation,15350,0
1,503,1115,Friday,Mechanical,3033,0
1,505,1260,Friday,Emergency Services,2194,0
1,506,513,Saturday,Late Leaving Garage,1117,0
1,505,621,Saturday,Mechanical,2136,0
1,504,758,Saturday,Late Leaving Garage,3374,0
1,504,761,Saturday,Late Leaving Garage,15462,0
1,511,789,Saturday,Mechanical,12584,0
1,501,861,Saturday,Emergency Services,3084,0
1,512,996,Saturday,Held By,8169,0
1,504,1025,Saturday,Mechanical,14640,0
1,506,1145,Saturday,Investigation,844,0
1,501,1210,Saturday,Investigation,14394,0
1,510,26,Sunday,Mechanical,10927,0
1,501,592,Sunday,Mechanical,3063,0
1,505,600,Sunday,Mechanical,14639,0
1,501,620,Sunday,Investigation,6523,0
1,501,639,Sunday,Investigation,6855,0
1,505,966,Sunday,Mechanical,14639,0
1,501,1195,Sunday,Held By,6909,1
1,505,10,Monday,Investigation,2194,0
1,510,487,Monday,Mechanical,7353,0
1,504,596,Monday,Mechanical,4142,0
1,505,976,Monday,Mechanical,14639,0
1,506,1008,Monday,Mechanical,1252,0
1,506,1121,Monday,Mechanical,1095,0
1,505,1257,Monday,Emergency Services,2194,0
1,506,1293,Monday,Mechanical,1082,0
1,506,1397,Monday,Mechanical,1252,0
1,501,305,Tuesday,Investigation,6523,0
1,510,318,Tuesday,Held By,7347,0
1,506,320,Tuesday,Held By,844,0
1,512,441,Tuesday,Mechanical,14778,0
1,501,493,Tuesday,Investigation,6909,0
1,505,529,Tuesday,General Delay,2194,0
1,504,606,Tuesday,Investigation,4576,0
1,504,793,Tuesday,General Delay,15639,1
1,505,809,Tuesday,General Delay,2119,0
1,505,835,Tuesday,Mechanical,2194,0
1,505,847,Tuesday,Utilized Off Route,2194,0
1,501,857,Tuesday,Mechanical,6523,0
1,510,894,Tuesday,Emergency Services,10927,0
1,510,955,Tuesday,General Delay,7353,0
1,506,1196,Tuesday,Mechanical,1082,0
1,506,1197,Tuesday,Mechanical,1082,0
1,506,1305,Tuesday,Mechanical,1099,0
1,512,1359,Tuesday,Mechanical,14778,0
1,506,299,Wednesday,Late Leaving Garage,1794,0
1,511,299,Wednesday,Late Leaving Garage,161,0
1,512,300,Wednesday,Late Leaving Garage,8153,0
1,506,301,Wednesday,Late Leaving Garage,1794,0
1,501,384,Wednesday,Investigation,6859,0
1,506,401,Wednesday,Mechanical,752,0
1,511,452,Wednesday,Mechanical,12584,0
1,505,542,Wednesday,General Delay,2171,0
1,505,709,Wednesday,Investigation,2117,0
1,505,822,Wednesday,General Delay,2161,0
1,506,1014,Wednesday,Mechanical,1252,0
1,506,1029,Wednesday,Mechanical,1082,0
1,506,1033,Wednesday,Mechanical,1451,0
1,505,1199,Wednesday,Investigation,14639,0
1,505,1296,Wednesday,Investigation,2194,0
1,506,1391,Wednesday,Emergency Services,1153,0
1,512,381,Thursday,Emergency Services,8148,0
1,504,542,Thursday,Mechanical,4190,0
1,506,610,Thursday,Mechanical,1082,0
1,505,764,Thursday,General Delay,2136,0
1,505,834,Thursday,General Delay,2141,0
1,505,905,Thursday,Mechanical,986,0
1,505,907,Thursday,Mechanical,14666,0
1,506,914,Thursday,Held By,1099,0
1,510,49,Friday,Emergency Services,10777,0
1,510,395,Friday,Mechanical,7353,0
1,505,479,Friday,Investigation,2143,0
1,505,510,Friday,General Delay,2136,0
