Month,Time,Day,Incident,Min Delay
3,3,Thursday,Mechanical,0
11,4,Friday,Mechanical,0
1,4,Sunday,Late Leaving Garage,0
10,8,Tuesday,Mechanical,0
6,3,Tuesday,General Delay,0
8,1,Sunday,Mechanical,0
2,0,Sunday,Mechanical,0
8,5,Wednesday,Investigation,0
3,9,Friday,Mechanical,0
12,10,Thursday,Investigation,1
8,8,Friday,Emergency Services,0
9,6,Monday,Mechanical,0
3,4,Sunday,Mechanical,0
5,6,Wednesday,Held By,0
6,5,Friday,Investigation,0
1,5,Saturday,Mechanical,0
11,3,Saturday,Mechanical,0
5,4,Thursday,Investigation,0
4,1,Sunday,Mechanical,0
3,6,Saturday,Mechanical,0
11,10,Wednesday,Mechanical,0
8,11,Wednesday,Investigation,0
8,11,Tuesday,Emergency Services,0
3,3,Wednesday,Late Leaving Garage,0
10,10,Thursday,Investigation,0
6,6,Tuesday,Mechanical,0
12,8,Wednesday,Investigation,0
2,3,Wednesday,Late Leaving Garage,0
6,9,Wednesday,Emergency Services,0
10,7,Sunday,Held By,0
1,3,Thursday,Mechanical,0
3,2,Thursday,Mechanical,0
2,4,Monday,Mechanical,0
7,11,Thursday,Mechanical,1
4,8,Monday,Emergency Services,0
2,4,Thursday,Mechanical,0
1,5,Monday,Mechanical,0
9,11,Thursday,Investigation,1
6,3,Thursday,Mechanical,1
3,11,Friday,Mechanical,0
9,8,Friday,Investigation,0
1,2,Thursday,Late Leaving Garage,0
3,4,Sunday,Overhead - Pantograph,1
3,4,Tuesday,Mechanical,0
11,5,Sunday,General Delay,0
3,2,Thursday,Held By,0
6,11,Wednesday,Investigation,0
2,5,Tuesday,General Delay,0
2,10,Thursday,General Delay,0
8,5,Saturday,Held By,0
10,8,Tuesday,Diversion,0
5,4,Wednesday,Mechanical,0
2,3,Wednesday,Late Leaving Garage,0
1,1,Tuesday,Mechanical,0
5,7,Tuesday,General Delay,0
8,0,Friday,Investigation,0
4,10,Sunday,Mechanical,0
4,8,Tuesday,Mechanical,0
5,6,Wednesday,Mechanical,0
8,3,Saturday,Overhead - Pantograph,0
3,9,Friday,Mechanical,0
2,7,Monday,Mechanical,0
11,6,Saturday,Late Leaving Garage,0
2,4,Thursday,Investigation,0
12,7,Friday,General Delay,0
3,4,Saturday,Emergency Services,0
9,10,Wednesday,Held By,0
3,2,Wednesday,Mechanical,0
3,8,Tuesday,Mechanical,0
11,10,Monday,Investigation,0
10,6,Sunday,Mechanical,0
9,0,Tuesday,Held By,0
3,4,Sunday,Mechanical,0
5,9,Monday,General Delay,0
1,6,Monday,Held By,0
12,2,Thursday,Investigation,0
1,2,Thursday,Held By,0
6,6,Saturday,Mechanical,0
11,7,Tuesday,Investigation,0
9,0,Monday,Investigation,0
11,2,Friday,Investigation,0
6,3,Friday,Mechanical,0
10,7,Monday,Mechanical,0
10,8,Wednesday,Investigation,0
10,10,Thursday,Investigation,0
9,6,Wednesday,Investigation,0
2,3,Friday,Late Leaving Garage,0
8,7,Thursday,Mechanical,0
1,2,Monday,Late Leaving Garage,0
